1, 1
6, 8
35, 49
204, 288
1189, 1681
6930, 9800
40391, 57121
235416, 332928
1372105, 1940449
7997214, 11309768
46611179, 65918161
271669860, 384199200
1583407981, 2239277041
9228778026, 13051463048
53789260175, 76069501249
313506783024, 443365544448
1827251437969, 2584123765441
10650001844790, 15061377048200
62072759630771, 87784138523761
361786555939836, 511643454094368
2108646576008245, 2982076586042449
12290092900109634, 17380816062160328
71631910824649559, 101302819786919521
417501372047787720, 590436102659356800
2433376321462076761, 3441313796169221281
14182756556724672846, 20057446674355970888
82663163018885960315, 116903366249966604049
481796221556591089044, 681362750825443653408
2808114166320660573949, 3971273138702695316401
16366888776367372354650, 23146276081390728245000
95393218491883573553951, 134906383349641674153601
555992422174934068969056, 786292024016459316676608
